accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.6967402100563049,0.7691988348960876,0.5755677223205566,0.7577184438705444,0.8527333736419678,0.5241692662239075,0.0010000000474974513
0.749930739402771,0.8327038884162903,0.5028552412986755,0.791208803653717,0.8778494596481323,0.44881024956703186,0.0010000000474974513
0.7569489479064941,0.8443620800971985,0.4862063229084015,0.8037676811218262,0.8887861371040344,0.422756165266037,0.0010000000474974513
0.7788345813751221,0.8605490922927856,0.46506550908088684,0.8074306845664978,0.8931838274002075,0.4148558974266052,0.0010000000474974513
0.7804968357086182,0.8642744421958923,0.458828330039978,0.8095238208770752,0.8939922451972961,0.4131582975387573,0.0010000000474974513
0.7868685722351074,0.8721564412117004,0.44636252522468567,0.8126635551452637,0.8985427021980286,0.4036390483379364,0.0005000000237487257
0.79111647605896,0.873547375202179,0.4451407492160797,0.8116169571876526,0.898505449295044,0.40342870354652405,0.0005000000237487257
0.7902853488922119,0.8775847554206848,0.4378480911254883,0.8147566914558411,0.8994747400283813,0.4016554057598114,0.0005000000237487257
0.7942561507225037,0.8792145252227783,0.4354138672351837,0.8163265585899353,0.9006588459014893,0.3988945186138153,0.0005000000237487257
0.7983193397521973,0.883632481098175,0.4278620183467865,0.8110936880111694,0.9014112949371338,0.39788174629211426,0.0005000000237487257
