accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.6746698617935181,0.7402808666229248,0.6061924695968628,0.7456828951835632,0.8248597979545593,0.5256415605545044,0.0010000000474974513
0.7538092136383057,0.8295077681541443,0.5122864842414856,0.7666143178939819,0.8536660075187683,0.47792768478393555,0.0010000000474974513
0.7684919834136963,0.8505700826644897,0.4798717200756073,0.7718471884727478,0.8648480772972107,0.4579455554485321,0.0010000000474974513
0.773201584815979,0.8595593571662903,0.46504440903663635,0.7760334610939026,0.870961606502533,0.447506308555603,0.0010000000474974513
0.779296338558197,0.8656194806098938,0.4554798901081085,0.785452663898468,0.8751582503318787,0.4405604898929596,0.0010000000474974513
0.7832671403884888,0.8708809018135071,0.44735974073410034,0.7896389365196228,0.8794727325439453,0.4341030716896057,0.0010000000474974513
0.7894542217254639,0.8757386207580566,0.43999069929122925,0.7953950762748718,0.8832477927207947,0.42794090509414673,0.0010000000474974513
0.7941638231277466,0.8796237707138062,0.4338759183883667,0.7990580797195435,0.8861820697784424,0.42305082082748413,0.0010000000474974513
0.7978575825691223,0.8825376629829407,0.42909058928489685,0.8042909502983093,0.8885364532470703,0.4192243218421936,0.0010000000474974513
0.8021054863929749,0.8848584890365601,0.4251534640789032,0.8063840866088867,0.890068769454956,0.41657087206840515,0.0010000000474974513
0.8044140934944153,0.886903703212738,0.42171162366867065,0.8074306845664978,0.8914192914962769,0.41424766182899475,0.0010000000474974513
0.8073691129684448,0.8886858820915222,0.4185768663883209,0.807953953742981,0.8924177289009094,0.41243183612823486,0.0010000000474974513
0.8103241324424744,0.8903693556785583,0.415628582239151,0.809000551700592,0.8933092951774597,0.4108864665031433,0.0010000000474974513
0.8108782172203064,0.8919340372085571,0.41294580698013306,0.809000551700592,0.8941220045089722,0.4095219671726227,0.0010000000474974513
0.8119863271713257,0.8933126330375671,0.4105168282985687,0.8095238208770752,0.8948767185211182,0.4081341028213501,0.0010000000474974513
0.8120786547660828,0.894578754901886,0.4083237051963806,0.8084772229194641,0.8955289125442505,0.40688973665237427,0.0010000000474974513
0.8124480843544006,0.8957287073135376,0.4062305688858032,0.8095238208770752,0.8962079882621765,0.40591055154800415,0.0010000000474974513
0.8134638667106628,0.8967400193214417,0.4042821228504181,0.8100470900535583,0.8968033790588379,0.40499183535575867,0.0010000000474974513
0.8130944967269897,0.8978001475334167,0.4024335741996765,0.8105703592300415,0.8972238898277283,0.40437445044517517,0.0010000000474974513
0.8149413466453552,0.8987510204315186,0.40068745613098145,0.8105703592300415,0.8977305293083191,0.40362226963043213,0.0010000000474974513
0.8155877590179443,0.8995574712753296,0.3991183638572693,0.8121402263641357,0.8982951641082764,0.4026457667350769,0.0010000000474974513
0.8170652985572815,0.9004344940185547,0.39757591485977173,0.8142333626747131,0.8986911773681641,0.4020480811595917,0.0010000000474974513
0.8174346685409546,0.9012258052825928,0.3961500823497772,0.8158032298088074,0.8992370963096619,0.4010014832019806,0.0010000000474974513
0.8186351656913757,0.9020746946334839,0.39460551738739014,0.8163265585899353,0.8996467590332031,0.4003337323665619,0.0010000000474974513
0.8189122080802917,0.9028241634368896,0.393250972032547,0.8163265585899353,0.9001643061637878,0.39949727058410645,0.0010000000474974513
0.8186351656913757,0.9035974144935608,0.3918682336807251,0.8158032298088074,0.9007946252822876,0.3986084461212158,0.0010000000474974513
0.819466233253479,0.9042559862136841,0.3906385600566864,0.8152799606323242,0.9012777209281921,0.3976838290691376,0.0010000000474974513
0.8192815780639648,0.9049139618873596,0.38943028450012207,0.8158032298088074,0.9018527269363403,0.3967849314212799,0.0010000000474974513
0.820020318031311,0.9055758714675903,0.38814088702201843,0.8158032298088074,0.902362585067749,0.39603424072265625,0.0010000000474974513
0.8204820156097412,0.90627521276474,0.38673844933509827,0.8163265585899353,0.9028658866882324,0.3951173424720764,0.0010000000474974513
0.8215901851654053,0.9070687890052795,0.3853360712528229,0.8158032298088074,0.9033719301223755,0.394408255815506,0.0010000000474974513
0.8225136399269104,0.9077895283699036,0.3840256929397583,0.8142333626747131,0.9036561846733093,0.39366239309310913,0.0010000000474974513
0.8231600522994995,0.9085392355918884,0.38264012336730957,0.8147566914558411,0.9040745496749878,0.3927624225616455,0.0010000000474974513
0.8238064646720886,0.9092427492141724,0.3812160789966583,0.81371009349823,0.904373049736023,0.3921864628791809,0.0010000000474974513
0.8247299194335938,0.9099553823471069,0.3798500895500183,0.8163265585899353,0.9047098755836487,0.3917351961135864,0.0010000000474974513
0.8265767693519592,0.9105879068374634,0.37856733798980713,0.8178963661193848,0.9051479697227478,0.39086079597473145,0.0010000000474974513
0.8275925517082214,0.911156177520752,0.37741589546203613,0.8189429640769958,0.9055335521697998,0.3902400732040405,0.0010000000474974513
0.8279619812965393,0.911798894405365,0.3762398064136505,0.8199895620346069,0.9059754610061646,0.3895701766014099,0.0010000000474974513
0.8287930488586426,0.912315309047699,0.3751114308834076,0.8210361003875732,0.9061036109924316,0.38918137550354004,0.0010000000474974513
0.8291624188423157,0.9128289818763733,0.3741137981414795,0.819466233253479,0.9064338803291321,0.38875892758369446,0.0010000000474974513
0.8297165036201477,0.9133189916610718,0.37315458059310913,0.8220826983451843,0.9067630171775818,0.38802796602249146,0.0010000000474974513
0.8307322859764099,0.9138116836547852,0.3720858693122864,0.8241758346557617,0.9070899486541748,0.38741588592529297,0.0010000000474974513
0.8314710259437561,0.914297342300415,0.3711397051811218,0.8273155689239502,0.9074645638465881,0.3868640959262848,0.0010000000474974513
0.8328562378883362,0.9147806763648987,0.37012287974357605,0.8278388381004333,0.9078774452209473,0.3861682116985321,0.0010000000474974513
0.8329485654830933,0.9152177572250366,0.369197815656662,0.8273155689239502,0.9083906412124634,0.38537168502807617,0.0010000000474974513
0.8338720202445984,0.9156914949417114,0.36831530928611755,0.8278388381004333,0.9086217284202576,0.3849172592163086,0.0010000000474974513
0.8344261050224304,0.9161301255226135,0.36734718084335327,0.8288853764533997,0.9088342189788818,0.38456621766090393,0.0010000000474974513
0.8338720202445984,0.9165539145469666,0.3664591610431671,0.8288853764533997,0.9091026186943054,0.38370779156684875,0.0010000000474974513
0.8356265425682068,0.916996955871582,0.3655715584754944,0.8283621072769165,0.9092642068862915,0.3833905756473541,0.0010000000474974513
0.8359959125518799,0.9174067378044128,0.3647100627422333,0.8273155689239502,0.9095281362533569,0.3828578591346741,0.0010000000474974513
0.8372887372970581,0.9178385138511658,0.36385995149612427,0.8294087052345276,0.9096201658248901,0.3826324939727783,0.0010000000474974513
0.8375657796859741,0.9182853698730469,0.36299291253089905,0.8299319744110107,0.9098665714263916,0.3821931779384613,0.0010000000474974513
0.8383969068527222,0.9185925722122192,0.36224520206451416,0.8294087052345276,0.9100056886672974,0.38200822472572327,0.0010000000474974513
0.8387662768363953,0.9190182089805603,0.3613804876804352,0.8294087052345276,0.910076916217804,0.38172903656959534,0.0010000000474974513
0.8390433192253113,0.9193634986877441,0.36060038208961487,0.8304552435874939,0.9103381633758545,0.3812534809112549,0.0010000000474974513
0.8395050168037415,0.9197335243225098,0.3598190248012543,0.8304552435874939,0.9105632305145264,0.38091495633125305,0.0010000000474974513
0.8398743867874146,0.9200966358184814,0.35908374190330505,0.8304552435874939,0.9106081128120422,0.38070356845855713,0.0010000000474974513
0.8404284715652466,0.9204410910606384,0.35832273960113525,0.8299319744110107,0.9106864333152771,0.380489319562912,0.0010000000474974513
0.8409825563430786,0.9207369685173035,0.3576706051826477,0.8294087052345276,0.9108161926269531,0.3801317512989044,0.0010000000474974513
0.8408902287483215,0.9210808873176575,0.35687458515167236,0.8299319744110107,0.9109827280044556,0.3799996078014374,0.0010000000474974513
0.8413519263267517,0.9214057922363281,0.3561462163925171,0.8304552435874939,0.9110972285270691,0.3798154592514038,0.0010000000474974513
0.8411672115325928,0.9217230677604675,0.3555341958999634,0.8309785723686218,0.9111962914466858,0.3798941373825073,0.0010000000474974513
0.8412595987319946,0.9219757914543152,0.3548926115036011,0.8309785723686218,0.9112805724143982,0.3795951008796692,0.0010000000474974513
0.8422753810882568,0.922283411026001,0.3542194366455078,0.8309785723686218,0.911435604095459,0.37937048077583313,0.0010000000474974513
0.842737078666687,0.9225503206253052,0.3536117672920227,0.831501841545105,0.9116836786270142,0.37916046380996704,0.0010000000474974513
0.8431064486503601,0.9228782057762146,0.3529568314552307,0.831501841545105,0.9117675423622131,0.37911608815193176,0.0010000000474974513
0.8435682058334351,0.9231444597244263,0.35238730907440186,0.8325483798980713,0.9116798639297485,0.3791358470916748,0.0010000000474974513
0.8437528610229492,0.9233916997909546,0.35176798701286316,0.831501841545105,0.9119455218315125,0.3787192404270172,0.0010000000474974513
0.8439375758171082,0.9237406849861145,0.3511052131652832,0.8325483798980713,0.9120161533355713,0.3785003423690796,0.0010000000474974513
0.8440299034118652,0.9239665269851685,0.35053133964538574,0.8330717086791992,0.9120561480522156,0.3785572350025177,0.0010000000474974513
0.8445839881896973,0.9242684245109558,0.349899023771286,0.8346415758132935,0.9120791554450989,0.378490686416626,0.0010000000474974513
