accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.6811339855194092,0.746648371219635,0.5957245230674744,0.7524856328964233,0.836572527885437,0.5040940642356873,0.0010000000474974513
0.7303536534309387,0.811271071434021,0.5293303728103638,0.7817896604537964,0.8630791902542114,0.46200937032699585,0.0010000000474974513
0.7570412755012512,0.8380677700042725,0.49661746621131897,0.7823129296302795,0.8733306527137756,0.4459920823574066,0.0010000000474974513
0.7583341002464294,0.8435139656066895,0.4892313778400421,0.7880690693855286,0.8769847750663757,0.43807896971702576,0.0010000000474974513
0.7708006501197815,0.8528379797935486,0.47610875964164734,0.7875458002090454,0.8807488083839417,0.43280065059661865,0.0010000000474974513
0.7722781300544739,0.8577080965042114,0.46848148107528687,0.7964416742324829,0.8838376402854919,0.429390013217926,0.0005000000237487257
0.7780035138130188,0.8600717186927795,0.4656868577003479,0.7974882125854492,0.8859394192695618,0.42693018913269043,0.0005000000237487257
0.7735709547996521,0.8620662689208984,0.4634999632835388,0.7980115413665771,0.887612521648407,0.4239775538444519,0.0005000000237487257
0.7820666432380676,0.8650532960891724,0.4578840732574463,0.8048142194747925,0.8897795677185059,0.4219750463962555,0.0005000000237487257
0.7841905951499939,0.8683408498764038,0.45172131061553955,0.8032443523406982,0.8905730843544006,0.4192139208316803,0.0005000000237487257
